variable;variable_old;text;info
freetime_2;Q134_8;Wie gestalten Sie Ihre Freizeit in der Regel? - Selected Choice - Unterhaltung;"{""ImportId"":""QID134"",""choiceId"":""8""}"
freetime_3;Q134_9;Wie gestalten Sie Ihre Freizeit in der Regel? - Selected Choice - Familie;"{""ImportId"":""QID134"",""choiceId"":""9""}"
freetime_4;Q134_10;Wie gestalten Sie Ihre Freizeit in der Regel? - Selected Choice - Freunde treffen;"{""ImportId"":""QID134"",""choiceId"":""10""}"
freetime_5;Q134_11;Wie gestalten Sie Ihre Freizeit in der Regel? - Selected Choice - sonstiges;"{""ImportId"":""QID134"",""choiceId"":""11""}"
freetime_sonstiges;Q134_11_TEXT;Wie gestalten Sie Ihre Freizeit in der Regel? - sonstiges - Text;"{""ImportId"":""QID134_11_TEXT""}"
erreichbarkeit_1;Q136_1;Ich habe das Gefühl, ständig erreichbar sein zu müssen.;"{""ImportId"":""QID136_12""}"
infoskills_1;Q83_1;Bei der Arbeit und/oder im Studium: Wie oft ... - … sind Sie konsequent bei der Benennung von digitalen Dateien?;"{""ImportId"":""QID99_2""}"
infoskills_2;Q83_2;Bei der Arbeit und/oder im Studium: Wie oft ... - … organisieren Sie digitale Dateien anhand einer hierarchischen Ordnerstruktur?;"{""ImportId"":""QID99_3""}"
infoskills_3;Q83_3;Bei der Arbeit und/oder im Studium: Wie oft ... - ... prüfen Sie die Zuverlässigkeit der Information auf einer Website?;"{""ImportId"":""QID99_4""}"
infoskills_4;Q83_4;Bei der Arbeit und/oder im Studium: Wie oft ... - ... prüfen Sie die Informationen auf anderen Websites gegen?;"{""ImportId"":""QID99_6""}"
commskills_1;Q87_1;Bei der Arbeit und/oder im Studium, wie oft ... - … bekommen Sie gezielte Informationen aus dem Internet? (Recherchearbeit);"{""ImportId"":""QID101_1""}"
commskills_2;Q87_2;Bei der Arbeit und/oder im Studium, wie oft ... - ... verbinden Sie sich online mit Menschen aus Ihrem Fachbereich? (LinkedIn, Xing, Facebook, etc.);"{""ImportId"":""QID101_2""}"
commskills_3;Q87_3;Bei der Arbeit und/oder im Studium, wie oft ... - ... benutzen Sie Ihr Online-Netzwerk, um Vorteile daraus zu ziehen?;"{""ImportId"":""QID101_4""}"
commskills_4;Q87_4;Bei der Arbeit und/oder im Studium, wie oft ... - … veröffentlichen Sie neue Beiträge? (LinkedIn, Xing, Facebook, etc.);"{""ImportId"":""QID101_5""}"
collskills_1;Q91_1;Bei der Arbeit und/oder im Studium, wie oft ... - … teilen Sie wichtige Informationen mit Ihrem Team über das Internet?;"{""ImportId"":""QID103_1""}"
collskills_2;Q91_2;Bei der Arbeit und/oder im Studium, wie oft ... - … hilft Ihnen das Internet, um Unterstützung von Kollegen/Kommilitonen zu bekommen?;"{""ImportId"":""QID103_3""}"
collskills_3;Q91_3;Bei der Arbeit und/oder im Studium, wie oft ... - … nutzen Sie das Internet, um Kollegen/Kommilitonen Feedback zu geben?;"{""ImportId"":""QID103_5""}"
collskills_4;Q91_4;Bei der Arbeit und/oder im Studium, wie oft ... - … hilft Ihnen das Internet, professionelle Expertise von anderen zu nutzen?;"{""ImportId"":""QID103_6""}"
thinkskills_1;Q95_1;Bei der Arbeit und/oder im Studium, wie oft ... - … sind Sie in der Lage die Diskussion in eine neue Richtung zu lenken?;"{""ImportId"":""QID105_1""}"
thinkskills_2;Q95_2;Bei der Arbeit und/oder im Studium, wie oft ... - … stellen Sie Fragen, um die Standpunkte anderer zu verstehen?;"{""ImportId"":""QID105_2""}"
thinkskills_3;Q95_3;Bei der Arbeit und/oder im Studium, wie oft ... - … filtern Sie die wichtigsten Punkte aus der Diskussion?;"{""ImportId"":""QID105_4""}"
thinkskills_4;Q95_4;Bei der Arbeit und/oder im Studium, wie oft ... - … sind Sie offen für Ideen, die einige Ihrer Überzeugungen herausfordern?;"{""ImportId"":""QID105_6""}"
creaskills_1;Q99_1;Bei der Arbeit und/oder im Studium, wie oft ... - … nutzen Sie das Internet, um innovative Ideen für Ihre Arbeit/ Ihr Studium zu generieren?;"{""ImportId"":""QID107_1""}"
creaskills_2;Q99_2;Bei der Arbeit und/oder im Studium, wie oft ... - … gestalten Sie Aufgaben mithilfe des Internets origineller?;"{""ImportId"":""QID107_2""}"
creaskills_3;Q99_3;Bei der Arbeit und/oder im Studium, wie oft ... - … nutzen Sie das Internet, um Ihre Aufgaben kreativ auszuführen?;"{""ImportId"":""QID107_3""}"
creaskills_4;Q99_4;Bei der Arbeit und/oder im Studium, wie oft ... - … folgen Sie Trends aus dem Internet, um originelle Ideen zu generieren?;"{""ImportId"":""QID107_4""}"
solveskills_1;Q103_1;Bei der Arbeit und/oder im Studium, wie oft ... - … finden Sie die Lösung im Internet, auch wenn die Lösung nicht sofort sichtbar ist?;"{""ImportId"":""QID109_3""}"
solveskills_2;Q103_2;Bei der Arbeit und/oder im Studium, wie oft ... - … hilft das Internet Ihnen ein Problem bestmöglich zu lösen?;"{""ImportId"":""QID109_4""}"
solveskills_3;Q103_3;Bei der Arbeit und/oder im Studium, wie oft ... - … erfüllt das Ergebnis, dass sie im Internet erhalten, ihre Erwartungen?;"{""ImportId"":""QID109_5""}"
solveskills_4;Q103_4;Bei der Arbeit und/oder im Studium, wie oft ... - … treffen Sie eine Entscheidung mithilfe des Internets, mit der Sie rückblickend zufrieden sind?;"{""ImportId"":""QID109_6""}"
ictskills_1;Q107_1;Bei der Arbeit und/oder im Studium, wie oft ... - … nehmen Sie an Diskussionen über Internet Anwendungen teil?;"{""ImportId"":""QID111_1""}"
ictskills_2;Q107_2;Bei der Arbeit und/oder im Studium, wie oft ... - … reagieren Sie zögerlich gegenüber neuen Internet Anwendungen?;"{""ImportId"":""QID111_2""}"
ictskills_3;Q107_3;Bei der Arbeit und/oder im Studium, wie oft ... - … können Sie sich in kurzer Zeit neue Technologien aneignen?;"{""ImportId"":""QID111_3""}"
